39Y2M	4C3N		accepted	species	Enterococcus quebecensis	Sistek et al., 2012	Bacillati	Bacillota	Bacilli	Lactobacillales		Enterococcaceae				Enterococcus		Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		bacteria
RC9YJ	4CK77		accepted	subspecies	Papilio brevicauda gaspeensis	McDunnough, 1934	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea	Papilionidae				Papilio		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Papilionoidea;Papilionidae;Papilio;Papilio brevicauda		lepidoptera
99VYH	8ZZSJ		accepted	species	Anania quebecensis	Munroe, 1954	Animalia	Arthropoda	Insecta	Lepidoptera	Pyraloidea	Crambidae	Pyraustinae			Anania		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Pyraloidea;Crambidae;Pyraustinae;Anania		lepidoptera
FGNZB	99VYH		accepted	unranked	BOLD:AAH4439		Animalia	Arthropoda	Insecta	Lepidoptera	Pyraloidea	Crambidae	Pyraustinae			Anania		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Pyraloidea;Crambidae;Pyraustinae;Anania;Anania quebecensis		lepidoptera
73YGF	9WMMJ		accepted	species	Neurocordulia yamaskanensis	(Provancher, 1875)	Animalia	Arthropoda	Insecta	Odonata	Libelluloidea	Corduliidae				Neurocordulia		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Odonata;Anisoptera;Libelluloidea;Corduliidae;Neurocordulia		otherinsects
FG7GV	73YGF		accepted	unranked	BOLD:AAD4342		Animalia	Arthropoda	Insecta	Odonata	Libelluloidea	Corduliidae				Neurocordulia		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Odonata;Anisoptera;Libelluloidea;Corduliidae;Neurocordulia;Neurocordulia yamaskanensis		otherinsects
72XJZ	8NRW5		accepted	species	Melanoplus gaspesiensis	Vickery, 1970	Animalia	Arthropoda	Insecta	Orthoptera	Acridoidea	Acrididae	Melanoplinae	Melanoplini		Melanoplus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Orthoptera;Caelifera;Acrididea;Acridoidea;Acrididae;Melanoplinae;Melanoplini;Melanoplus		orthoptera
V9QS5	T49YH		accepted	species	Spinoplasia gaspensis	Boucot, 1959	Animalia	Brachiopoda	Rhynchonellata	Spiriferida	Ambocoelioidea	Ambocoeliidae	Ambocoeliinae			Spinoplasia		Eukaryota;Animalia;Brachiopoda;Rhynchonelliformea;Rhynchonellata;Spiriferida;Spiriferidina;Ambocoelioidea;Ambocoeliidae;Ambocoeliinae;Spinoplasia		otheranimals
V5C62	F2N3C		accepted	species	Tritoechia quebecensis	Ulrich & Cooper, 1936	Animalia	Brachiopoda	Strophomenata	Billingsellida	Polytoechioidea	Tritoechiidae				Tritoechia		Eukaryota;Animalia;Brachiopoda;Rhynchonelliformea;Strophomenata;Billingsellida;Clitambonitidina;Polytoechioidea;Tritoechiidae;Tritoechia		otheranimals
86R5F	85HWB		accepted	species	Reptaria gaspeensis	Bassler, 1939	Animalia	Bryozoa	Stenolaemata	Cyclostomatida		Reptariidae				Reptaria		Eukaryota;Animalia;Bryozoa;Stenolaemata;Cyclostomatida;Hederellida;Reptariidae;Reptaria		otheranimals
86D8Z	858LZ		accepted	species	Anastomopora quebecensis	Fritz, 1938	Animalia	Bryozoa	Stenolaemata	Fenestrida		Semicosciniidae				Anastomopora		Eukaryota;Animalia;Bryozoa;Stenolaemata;Fenestrida;Semicosciniidae;Anastomopora		otheranimals
86MP6	85G5V		accepted	species	Mesotrypa quebecensis	(Ami, 1892)	Animalia	Bryozoa	Stenolaemata	Trepostomatida		Monticuliporidae				Mesotrypa		Eukaryota;Animalia;Bryozoa;Stenolaemata;Trepostomatida;Halloporina;Monticuliporidae;Mesotrypa		otheranimals
CGFK7	7WW68		accepted	subspecies	Sorex dispar gaspensis	Anthony & Goodwin, 1924	Animalia	Chordata	Mammalia	Eulipotyphla		Soricidae	Soricinae	Soricini		Sorex		Eukaryota;Animalia;Chordata;Vertebrata;Gnathostomata;Osteichthyes;Tetrapoda;Mammalia;Theria;Eutheria;Eulipotyphla;Soricidae;Soricinae;Soricini;Sorex;Sorex dispar		chordates
7KTS5	54MTF		accepted	subspecies	Tamias striatus quebecensis	Cameron, 1950	Animalia	Chordata	Mammalia	Rodentia		Sciuridae	Xerinae	Marmotini		Tamias	Tamias	Eukaryota;Animalia;Chordata;Vertebrata;Gnathostomata;Osteichthyes;Tetrapoda;Mammalia;Theria;Eutheria;Rodentia;Sciuromorpha;Sciuridae;Xerinae;Marmotini;Tamias;Tamias;Tamias (Tamias) striatus		chordates
V5KY5	C4VC8		accepted	species	Plectonotus gaspensis	(J. M. Clarke, 1907)	Animalia	Mollusca	Gastropoda		Bellerophontoidea	Bucaniidae	Plectonotinae	Plectonotini		Plectonotus		Eukaryota;Animalia;Mollusca;Gastropoda;Amphigastropoda;Bellerophontoidea;Bucaniidae;Plectonotinae;Plectonotini;Plectonotus		gastropods
V98DS	RNF3L		accepted	species	Paleuphemites quebecensis	(J. M. Clarke, 1908)	Animalia	Mollusca	Gastropoda		Bellerophontoidea	Euphemitidae	Paleuphemitinae			Paleuphemites		Eukaryota;Animalia;Mollusca;Gastropoda;Amphigastropoda;Bellerophontoidea;Euphemitidae;Paleuphemitinae;Paleuphemites		gastropods
B7JS5	8TXMB		accepted	species	Floripatella quebecensis	(Billings, 1865)	Animalia	Mollusca	Gastropoda	Nacellida	Lottioidea	Damilinidae				Floripatella		Eukaryota;Animalia;Mollusca;Gastropoda;Patellogastropoda;Nacellida;Lottioidea;Damilinidae;Floripatella		gastropods
9ZH6K	87LB5		accepted	species	Venturia quebecensis	Crous, M. Shen & Y. Zhang ter	Fungi	Ascomycota	Dothideomycetes	Venturiales		Venturiaceae				Venturia		Eukaryota;Fungi;Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Venturia		ascomycetes
3RN2N	59SW		accepted	species	Lachancea quebecensis	K.C. Freel, G. Charron, J.B. Leducq, C.R. Landry & J. Schacherer	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Saccharomycetaceae				Lachancea		Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea		ascomycetes
9Z46T	3QNY		accepted	species	Claviceps quebecensis	M. Liu & J. Cayouette	Fungi	Ascomycota	Sordariomycetes			Clavicipitaceae				Claviceps		Eukaryota;Fungi;Ascomycota;Sordariomycetes;Clavicipitaceae;Claviceps		ascomycetes
H7CR8	9Z46T		accepted	unranked	SH1338215.10FU		Fungi	Ascomycota	Sordariomycetes			Clavicipitaceae				Claviceps		Eukaryota;Fungi;Ascomycota;Sordariomycetes;Clavicipitaceae;Claviceps;Claviceps quebecensis		ascomycetes
4XFNT	7H2J		accepted	species	Simocybe quebecensis	Redhead & Cauchon	Fungi	Basidiomycota	Agaricomycetes	Agaricales		Crepidotaceae				Simocybe		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Crepidotaceae;Simocybe		basidiomycetes
HQMJ8	4XFNT		accepted	unranked	SH0203857.10FU		Fungi	Basidiomycota	Agaricomycetes	Agaricales		Crepidotaceae				Simocybe		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Crepidotaceae;Simocybe;Simocybe quebecensis		basidiomycetes
HQMJ9	HQMJ8		accepted	unranked	SH1032878.10FU		Fungi	Basidiomycota	Agaricomycetes	Agaricales		Crepidotaceae				Simocybe		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Crepidotaceae;Simocybe;Simocybe quebecensis;SH0203857.10FU		basidiomycetes
D2XWY	8W4CX		accepted	species	Triglochin gaspensis × Triglochin maritima		Plantae	Tracheophyta	Liliopsida	Alismatales		Juncaginaceae				Triglochin		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Liliopsida;Alismatales;Juncaginaceae;Triglochin		angiosperms
58QLF	8W4CX		accepted	species	Triglochin gaspensis	Lieth & D.Löve	Plantae	Tracheophyta	Liliopsida	Alismatales		Juncaginaceae				Triglochin		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Liliopsida;Alismatales;Juncaginaceae;Triglochin		angiosperms
RBFG	8VRHY		accepted	species	Carex × quebecensis	Lepage	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Carex		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex		angiosperms
6KKSS	8VXWS		accepted	species	Glyceria × gatineauensis	Bowden	Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Glyceria		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Liliopsida;Poales;Poaceae;Glyceria		angiosperms
6VRF6	8W2K5		accepted	species	Poa × gaspensis	Fernald	Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Poa		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Liliopsida;Poales;Poaceae;Poa		angiosperms
68LFC	C6H6V		accepted	species	Boechera quebecensis	Windham & Al-Shehbaz	Plantae	Tracheophyta	Magnoliopsida	Capparales		Brassicaceae	Brassicoideae	Boechereae		Boechera		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Magnoliopsida;Capparales;Brassicaceae;Brassicoideae;Boechereae;Boechera		angiosperms
6XDN9	7BWB		accepted	species	Salix × gaspeensis	C.K.Schneid.	Plantae	Tracheophyta	Magnoliopsida	Malpighiales		Salicaceae		Saliceae		Salix		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Saliceae;Salix		angiosperms
5M6SR	CQPV		accepted	variety	Amelanchier sanguinea var. gaspensis	Wiegand	Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae	Amygdaloideae	Maleae	Malinae	Amelanchier		Eukaryota;Plantae;Pteridobiotina;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Amygdaloideae;Maleae;Malinae;Amelanchier;Amelanchier sanguinea		angiosperms
